Files,HF - 1 thread,HF - 4 threads,HF - 8 threads,HF - 16 theads,HF - 32 threads,HF - 64 threads,FS - 1 thread,FS - 4 threads,FS - 8 threads,FS - 16 theads,FS - 32 threads,FS - 64 threads,1 thread,4 threads,8 threads,16 theads,32 threads,64 threads
100,156.0062403,211.8644068,256.4102564,408.1632653,406.504065,485.4368932,523.510869,1388.888889,1724.137931,1694.915254,1923.076923,1694.915254,598.8023952,1515.151515,1818.181818,2000,1923.076923,1754.385965
1000,127.8118609,345.9010723,477.326969,781.25,740.19245,1126.126126,984.6087765,2439.02439,3289.473684,4255.319149,4405.286344,4310.344828,891.2655971,2463.054187,3300.330033,3968.253968,4484.304933,4784.688995
10000,142.5435471,407.8636104,615.8014656,832.9862557,1095.050372,1426.940639,1048.334204,2912.055911,4938.271605,6788.866259,7278.020378,7072.135785,1093.613298,3032.140691,4737.091426,6553.079948,6451.612903,6720.430108
100000,141.5432174,433.1329372,738.0509550379359,1144.688645,1524.1114430287143,2020.5693964559214,1108.44,3185.829431,5566.688933,8108.307408,8166.546857,8095.214375,1184.399095,3335.557038,5624.296963,7935.878105,7817.997029,7888.301649
1000000,,,,,,,1168.575535,3128.597888,5788.477457,8158.9675,8155.985181,8190.469417,1176.856874,3257.28655,5944.38434,7789.314618,7779.255836,8093.650996
